text
В России создали самый высокий [club194944166|автомобиль] в мире   Нам есть чем гордиться.
"[club194944166|Lada Largus] могут временно снять с продаж в России из-за массовых жалоб на неисправности рулевого управления, пишут СМИ  По данным источников, Росстандарт направил АвтоВАЗу уведомление о несоответствии модели требованиям безопасности. Владельцы массово сообщают, что с наступлением холодов руль ""закусывает"" и поворачивается с трудом, что создаёт риск аварий.  В официальном письме ведомства указано, что до устранения неполадок производителю рекомендовано ограничить продажи Lada Largus. Однако на данный момент поставки и реализация автомобилей продолжаются."
Союзники России – армия, флот и воздушно-космические силы — [club194944166|Лавров]
"В сети распространилась фотография, на которой [club194944166|Трамп], по словам очевидцев, ""засыпает"" во время официального мероприятия в Белом доме  Как сообщает CNN, снимок был сделан 6 ноября.   На кадрах видно, как американский лидер с трудом удерживает глаза открытыми, что вызвало бурную реакцию пользователей в соцсетях."
"Умер художник [club194944166|Эрик Булатов], ему было 92 года  Один из самых ярких представителей московского концептуализма и современного российского искусства, Булатов вошёл в историю своими культовыми работами — ""Вход — нет входа"", ""Свобода"" и ""Живу — вижу"", которые стали символами своего времени."
[club194944166|Лукашенко] провёл мастер-класс по рубке чурок   Во время чемпионата по колке чурок среди журналистов, прошедшего в Беларуси, президент решил принять участие лично и показал, как правильно обращаться с топором.
В Москве [club194944166|трое бородатых мужчин] разбили автомобиль с ребёнком внутри после того, как им посигналили  Инцидент произошёл на Пролетарском проезде: водитель одной из машин подал сигнал, требуя уступить дорогу. Это вызвало агрессию у нарушителей — они догнали автомобиль, прижали его к обочине и выбежали наружу.  Мужчины начали бить машину, несмотря на то, что в салоне находился ребёнок. В итоге они разбили лобовое стекло и скрылись с места происшествия. Полиция разыскивает нападавших.
"Россиян не пустили в собственную страну. [club194944166|Парому Seabridge] официально отказали во входе в Сочи — судно с российских гражданами на борту уходит обратно в Турцию после трёх суток ожидания  По словам гендиректора компании ""СВС-Шиппинг"", местные власти запретили судну заход в порт, несмотря на наличие всех необходимых документов и регистрацию в ""Росморречфлоте"".  Три дня корабль дрейфовал в 20 километрах от побережья Сочи — за это время на борту почти закончились продукты и средства гигиены.  Рейс стал первым за 14 лет паромным маршрутом между Турцией и Россией. О том, будет ли сообщение восстановлено в будущем, пока не сообщается."
"Умер [club194944166|Владимир Симонов] — звезда сериалов ""Каменская"" и ""Дети Арбата""  Народному артисту России и ведущему актеру Театра имени Вахтангова было 68 лет.  Всего он снялся более чем в 150 фильмах и сериалах. Причиной смерти стали проблемы с сердцем."
"""Дожить до 150 лет скоро станет реальностью"" — The New York Times написали о [club194944166|китайских таблетках долголетия]  В Китае обнаружили лабораторию, которая заявляет о создании препарата, способного значительно продлить человеческую жизнь. Разработкой занимается стартап Lonvi Biosciences из Шэньчжэня, специализирующийся на технологиях долголетия.  Основа препарата — соединение процианидин C1 (PCC1), выделенное из экстракта виноградных косточек. По данным исследований, это вещество увеличивает продолжительность жизни мышей на 9,4% и продлевает активный период жизни на 64,2% с момента начала приёма.  ""Дожить до 150 лет — вполне реально. Уже через несколько лет это станет достижимо для человека"", — заявил технический директор Lonvi Biosciences Лю Цинхуа.  Ранее о перспективах продления жизни и трансплантации органов рассуждали Владимир Путин и Си Цзиньпин, отметив, что медицина будущего сможет радикально продлить человеческий век."
"[club194944166|Roblox] кишит педофилами и психопатами: журналистка The Guardian неделю играла за 8-летнюю девочку и пришла в ужас  В ходе ""подпольного"" эксперимента она пережила виртуальное изнасилование, буллинг и домогательства. Платформа наводнена ""взрослыми"" режимами, которые дети открывают за пару кликов. Модерация и фильтры не работают — школьники легко их обходят.  Один взрослый игрок сел на лицо аватара и имитировал движения бёдрами, игнорируя просьбы остановиться. Другие приставали с грязными предложениями и требовали молчать перед родителями. Родительский контроль был включён — но не сработал."
"[club194944166|Маколей Калкин] вновь остался ""Один дома"" — спустя 35 лет после выхода культового фильма  45-летний актёр вернулся к образу Кевина Маккалистера в новой рекламе компании Home Instead, занимающейся уходом за пожилыми людьми на дому.  Теперь повзрослевший Кевин не отбивается от грабителей, а заботится о своей маме: расстилает пузырчатую плёнку, составляет ""План безопасности для мамы"" с пунктами вроде ""убрать лёд у крыльца"" и ""прикрепить ковёр"".  В конце ролика Кевин слышит знакомый скрип лопаты — и на пороге появляется внучка того самого старика Марли, напоминая зрителям о классике."
[club194944166|Патриарх Кирилл] вручил Медведеву орден Димитрия Донского I степени   Об этом сообщается на сайте Московской патриархии.  Орден Димитрия Донского I степени — это одна из высших наград Русской Православной Церкви, которой награждаются священнослужители, военачальники, ветераны и другие лица за вклад в защиту Отечества, развитие взаимодействия между Церковью и Армией, а также за оказание духовно-нравственной поддержки военнослужащим.
[club194944166|Петербург] стал столицей наркоманов и алкоголиков  По данным статистики за 2024 год количество наркозависимых в городе увеличилось на 24%, а алкоголиков — на 22% по сравнению с прошлым годом.  Одновременно отмечен рост заболеваний, передающихся половым путём — случаев сифилиса стало больше почти на 10%.
"На конкурсе ""Мисс Чили"" зрителей и жюри удивила участница [club194944166|Игнасиа Фернандес] — во время шоу талантов девушка исполнила дэт-метал-композицию гроулингом  Необычное выступление принесло ей место в топ-20 финалисток. Игнасиа призналась, что сначала боялась насмешек, но публика приняла номер на ура, а жюри назвало его одним из самых запоминающихся.  Помимо участия в конкурсах красоты, Фернандес — вокалистка и соосновательница метал-группы Decessus. Теперь она готовится к финалу и надеется побороться за корону ""Мисс Чили""."
"Журнал Time представил сценарий возможной [club194944166|ядерной войны] между Россией и США  — Одновременный запуск ракет: обе стороны наносят массированные удары, уничтожая военные объекты и линии связи; — ЭМИ-удар: выходят из строя электросети, техника и спутниковые системы; — Первые цели: штабы управления, командные пункты и подземные базы; — Через 30 минут: начинаются удары по городам — огненные взрывы, радиация, паника; — Союзники: к конфликту подключаются Британия и Франция, зона разрушений расширяется; — Экологические последствия: пожары окутывают атмосферу дымом, наступает ""ядерная зима""; — Финал: миллиарды погибших, планета в разрухе, а победителей — нет."
[club194944166|Парень] выиграл 200 тысяч рублей на олимпиаде по алгебре в Крыму и не смог сдержать свои эмоции  Первым делом он позвонил маме и расплакался от счастья.
"Из сериала [club194944166|""Воронины""] вырезали сцены, которые посчитали ЛГБТ*-пропагандой  В одной из серий удалили около 12 минут — почти половину эпизода. Под нож попали сцены, где обыгрывалась тема ориентации Лёни: герой избегал отношений с женщинами и предпочитал проводить время с мужчинами.  После монтажа серия сократилась с 24 до 12 минут, и, по словам зрителей, полностью утратила первоначальный смысл.  * запрещенное в РФ движение"
"[club194944166|Ксения Собчак] высказала мнение о свадьбе SHAMAN’a и Екатерины Мизулиной  ""Кен и Барби заселяются в вип-домик. Сценарист прогрева переходит во второй сезон. Думаю, фоточки из медового месяца нас всё равно ждут: виды курортов КНДР или тур по монастырям Забайкалья. Счастливого пути по бурному морю счастливой жизни. Главное, чтобы не укачало. А то многих на берегу, глядя на вас, немножко подташнивает"" — сказала журналистка."
Генетики предсказали, что к 2045 году доля [club194944166|славян] в Москве сократится до 20%  По их оценкам, за последние десятилетия количество многодетных русских семей резко снизилось, тогда как в странах СНГ и Средней Азии рождаемость остаётся высокой.   Всё больше семей из этих регионов переезжают в российскую столицу, что постепенно меняет её этнический состав.
[club194944166|Андская кошка] названа самым редким и малоизученным хищником на планете    Этот скрытный вид обитает высоко в горах Андах, предпочитая суровые условия на высоте от 3 до 5 тысяч метров. Встретить андскую кошку в дикой природе практически невозможно из-за ее крайне скрытного образа жизни и малочисленности.    Это небольшая дикая кошка, достигающая около 70 сантиметров в длину. Она отличается густым серо-пепельным мехом, который отлично защищает от холода, и длинным пушистым хвостом, украшенным характерными темными кольцами. По оценкам ученых, общая численность популяции составляет всего около 2,5 тысячи особей.
Объемы бензина в России планируют увеличить [club194944166|за счет добавления спирта]    В России рассматривается возможность разрешить нефтеперерабатывающим заводам (НПЗ) добавлять спирт в бензин с целью увеличения объемов поставок топлива на рынок. Министерство финансов РФ выступило с инициативой обнулить акциз на денатурированный этиловый спирт, который будет использоваться при производстве бензина марки АИ-92.    Планируется повысить разрешенную долю спирта в составе топлива с текущих 1,5% до 10%. Эта мера, по оценкам экспертов, позволит дополнительно вывести на внутренний рынок до 100 тысяч тонн бензина ежемесячно.    Кроме того, обсуждается возможность разрешить применение монометиланилина (ММА). Это октаноповышающая присадка, которая в некоторых странах запрещена из-за ее токсичности.
"В Краснодаре подростки организовали [club194944166|бойцовский клуб] и избивают жителей дворов    В этот ""бойцовский клуб"" входят около 30 подростков в возрасте от 12 до 16 лет. Жестокие избиения они снимают на видео и публикуют в социальных сетях. От действий агрессивных подростков уже пострадало несколько человек, включая, по меньшей мере, четырех детей.    Лидером группы, которую сравнивают с ""Тайлером Дерденом"" из ""Бойцовского клуба"", считается 16-летняя девочка по имени Лиза. У нее стрижка каре, отсутствуют передние зубы, и она, по свидетельствам, ""очень любит драться""."
[club194944166|Фотограф заснял] самого милого жителя тайги — сибирскую белку-летягу    Сибирская белка-летяга, обычно ведущая крайне скрытный образ жизни, решила пойти на контакт. Радостный комочек заметил человека, вылез из своего дупла и устроился перекусить прямо на камеру.
"[club194944166|Депутат Госдумы] призвала родителей 30-летних россиян ""торопить их со вступлением в брак""    Председатель комитета Госдумы по защите семьи, вопросам отцовства, материнства и детства Нина Останина считает, что в этом возрасте прямое влияние родителей не является чрезмерным давлением.   Она провела черту между ситуациями, отметив, что торопить ребенка с замужеством в 15 лет недопустимо, но в 30 лет подход меняется: ""Если родитель давит на свою дочь в 30 лет, то я считаю, что так делать можно и нужно"", — уверена глава комитета Госдумы."
"[club194944166|Взрыв зеленого метеорита] над Москвой засняли из иллюминатора самолета    Космический объект сумела заснять бортпроводница, которая стала свидетелем того, как метеорит на высоте около 10 тысяч метров рассыпался и сгорел в атмосфере.    ""Деньги приходят и уходят, но я больше никогда не буду 22-летней мной, наблюдавшей за метеоритом из иллюминатора"", — написала она."
"В Польше объявлена крупнейшая в истории страны [club194944166|всеобщая военная подготовка]    Программа под названием ""Наготове"", публичным лицом которой выступает министр национальной обороны Владислав Косиняк-Камыш, начнется уже через несколько недель.  В следующем году планируется охватить до 400 тысяч человек, включая обучающихся по программе для резервистов. Этот показатель превзойдет любые прошлые аналогичные инициативы. Обучающие курсы включают базовую безопасность, обучение выживанию, медицинскую подготовку и занятия по кибергигиене."
В Европе обнаружена [club194944166|пещера с гигантской паутиной площадью] более 100 квадратных метров  На границе Албании и Греции ученые обнаружили уникальное природное явление — пещеру, где находится колоссальная паутина площадью около 106 квадратных метров.    В этой гигантской сети обитают более 111 тысяч пауков, относящихся к двум различным видам. Поразительно, что в обычных условиях эти виды враждуют, не живут колониями и никогда не делят одну общую паутину.
"[club194944166|70-летнего Брюса Уиллиса], который борется с деменцией, сфотографировали во время прогулки по набережной  Актёр шёл, держась за руку опекуна, и выглядел бодрым — часто улыбался и охотно общался.  Ранее СМИ сообщали, что состояние звезды ""Крепкого орешка"" ухудшилось: Уиллис почти утратил способность говорить, читать и самостоятельно передвигаться. Сейчас он живёт в отдельном доме, где за ним круглосуточно следят близкие."
"[club194944166|Голкипер] белорусского клуба ""Торпедо-БелАЗ-2"" был признан лучшим игроком матча и получил сертификат на 50 белорусских рублей (около 1360 ₽) в магазин канцтоваров ""Смайлик""  Однако торжественный момент омрачила забавная деталь — в слове ""сертификат"" на награде допустили опечатку, сообщает ""Спортс""."
"В Свердловской области мужчина убил друга после игры в [club194944166|""камень, ножницы, бумага""] на жизнь  Об этом сообщает Baza. Житель Туринской Слободы Сергей Горячевских приехал в гости к приятелю и его знакомой. После совместного застолья компания заскучала и решила сыграть в детскую игру, но с мрачным условием: проигравший должен умереть — либо от руки победителя, либо по его заказу.  В первой же партии Сергей выиграл, после чего между друзьями вспыхнула ссора. Мужчина схватил нож и несколько раз ударил оппонента.  Осознав, что произошло, он сам вызвал скорую, но пострадавший умер в больнице. На суде Горячевских признал вину, однако заявил, что не хотел смерти товарища. Суд приговорил его к 9 годам колонии строгого режима."
"[club194944166|Еврокомиссия] объявила о запрете выдачи новых мультивиз россиянам  Теперь россияне смогут получить только ""одноразовые"" визы, а сделать это будет гораздо сложнее.  Мультивиз будет доступен гражданам РФ только в исключительных случаях, таких как медицинская необходимость или наличие второго гражданства одной из стран ЕС, а все заявления на получение теперь будут проходить усиленные проверки."
"[club194944166|Великобритания] рассматривает возможность прямого участия в украинском конфликте  Британские вооружённые силы обсуждают сценарии возможного вступления в боевые действия на стороне Украины или участия в послевоенной миротворческой миссии в составе коалиции союзников, сообщает The Guardian.  По данным издания, речь идёт о задействовании всех видов войск — от авиации и флота до сухопутных подразделений. Решение пока находится на стадии обсуждения, однако, по словам источников, ""Лондон готов перейти от поддержки к более активной роли в конфликте""."
"В [club194944166|Москве] стремительно растёт число армян, таджиков и киргизов, а доля славян сокращается, рассказали учёные РАН  Основные наблюдения экспертов:  — В столице усиливается миграционный приток, что влияет на демографию и культурную среду; — Мигранты привозят в город свои традиции, язык, особенности быта и даже генетическое разнообразие; — Этнические группы расселяются по районам неравномерно, формируя локальные сообщества; — Всё чаще заключаются межэтнические браки, а различия между поколениями становятся заметнее; — Рост населения мегаполиса во многом обеспечивают именно приезжие семьи, где обычно 3–4 ребёнка, в то время как у москвичей — 1–2; — Учёные также отмечают, что лишь около 5% людей русской национальности могут назвать себя коренными москвичами в трёх поколениях."
"В России могут ввести вход в интернет через [club194944166|""Госуслуги""]  Экономист Максим Шошин заявил, что с вероятностью 100% в ближайшие годы — уже в 2025–2026 — пользователи смогут выходить в сеть только через авторизацию на портале ""Госуслуги"".  ""Единая система идентификации для всего интернета — масштабная реформа. Придётся менять работу всех соцсетей, видеохостингов и сайтов"", — пояснил эксперт.  По его словам, идею продвигают под предлогом защиты несовершеннолетних, борьбы с ботами и повышения ответственности пользователей. Однако противники нововведения предупреждают: такая система фактически уничтожит анонимность в сети и создаст риски масштабных утечек персональных данных."
Выход [club194944166|GTA 6] перенесли на 19 ноября 2026 года  Изначально релиз должен был состояться в мае 2026-го, однако выход перенесли чтобы доработать игру.
[club194944166|Кошка на улице подружилась с собакой] и обрела новый дом    Бродячая кошка настойчиво прибилась к девушке и ее собаке во время их ежедневных прогулок. Она целенаправленно встречала их на улице, не давая пройти, постоянно терлась о собаку и громко мяукала.    После нескольких таких встреч девушка приняла решение забрать кошку домой, и там проявившаяся на улице любовь только усилилась. Кошка не отходит от своего нового четвероногого друга и постоянно демонстрирует ему привязанность и нежность.
В России создан [club194944166|первый в мире быстрый тест] для диагностики гепатита С    Российские ученые разработали и зарегистрировали первый в мире экспресс-тест для диагностики гепатита С, который способен определить наличие вируса всего за 25–30 минут. Это значительно сокращает время ожидания результата по сравнению со стандартными методами, требующими до полутора-двух часов. Об этом достижении сообщила пресс-служба Роспотребнадзора.
"[club194944166|Победительницей конкурса ""Мисс Земля — 2025""] стала Натали Пушкинова из Чехии    21-летняя Пушкинова обошла около 80 других претенденток. Финал международного конкурса красоты, посвященного вопросам экологии, состоялся в среду, 5 ноября, в Маниле (Филиппины), сообщает ABS-CNB.    Пушкинова также стала новым глобальным амбассадором по вопросам экологической осведомленности и устойчивого развития в рамках информационно-просветительской платформы конкурса."
"[club194944166|Батюшка поднял 200-килограммовую штангу] одной рукой, пока ждал кофе    Священнослужитель из Воронежа, настоятель храма Георгия Победоносца Алексей Гончаров, стал звездой социальных сетей после того, как в сети завирусилось видео, где он, одетый в рясу, поднимает одной рукой штангу весом 200 килограммов.    ""Я пошел гулять по выставке [""Россия — спортивная держава""] и подошел к стенду тяжелой атлетики, мне предложили кофе, и пока я ждал кофе, я решил поразвлекаться со штангой"", — сказал он."
"[club194944166|Александр Петров] исполнит главную роль в третьем сезоне сериала ""Фишер""    Продолжение получило название ""После Фишера. Инквизитор"". Об этом сообщила пресс-служба онлайн-кинотеатра Wink.    Петров сыграет следователя по фамилии Терехов. По сюжету, действие переносится в небольшой алтайский город на границе с тайгой, где обнаруживают тело дочери местного чиновника. Вскоре выясняется, что это убийство может быть связано с нераскрытой серией преступлений знаменитого барнаульского маньяка."
"В России впервые [club194944166|оператор связи сдал ФСБ клиента], который искал запрещенный контент   В Каменске-Уральском составлен протокол на 20-летнего сотрудника медучреждения по статье 13.53 КоАП РФ (поиск заведомо экстремистских материалов). По данным СМИ, утром 24 сентября молодой человек в автобусе просмотрел статьи об организациях ""РДК"" и батальон ""Азов"" (обе признаны экстремистскими и запрещены в РФ).    Название оператора связи не уточняется, но именно он передал информацию о поисковых запросах пользователя в ФСБ.    Сегодня, после второго заседания, дело было временно приостановлено и возвращено в полицию для ""устранения недочетов"", так как на заседание не явились сотрудники и свидетели. Адвокат сомневается, что это приведет к изменению ситуации в пользу его подзащитного."
"Ветеринары предупредили об опасности [club194944166|обычного взмаха рукой для кошек]    Ветеринарные специалисты выступили с предупреждением для владельцев кошек, объяснив, что один из распространенных жестов может представлять серьезную опасность для здоровья питомцев. Речь идет о быстром взмахе или резком движении рукой с растопыренными пальцами.    Специалисты объяснили, что кошки воспринимают этот жест, который часто называют ""злой рукой"", как прямую угрозу или агрессию. Такое внезапное движение вызывает у животных сильный стресс и чувство испуга, что в отдельных случаях может привести к серьезным физиологическим последствиям.    По словам ветеринаров, сильный стресс может спровоцировать у кошек резкий скачок давления и даже стать причиной инфаркта."
